time,Gyr_X,Gyr_Y,Gyr_Z
0.0,0.002637,0.000168,0.009663
0.0024999999999977,0.003121,0.000875,0.009529
0.0049999999999954,0.001641,0.003671,0.008961
0.0074999999999931,0.002786,0.004179,0.008499
0.0099999999999909,0.00158,0.005457,0.012141
0.0124999999999886,0.001564,0.003187,0.011449
0.0149999999999863,0.000755,0.002254,0.010558
0.017499999999984,-0.000735,0.000498,0.009555
0.0199999999999818,-0.001015,0.002538,0.010344
0.0224999999999795,0.003351,-0.000235,0.010667
0.0249999999999772,0.001592,4.8e-05,0.008822
0.0275000000000034,0.0016,0.002039,0.006098
0.0300000000000011,0.001282,0.001081,0.008292
0.0324999999999988,0.003374,0.001279,0.008056
0.0349999999999965,0.004656,0.001217,0.007669
0.0374999999999943,0.00689,0.003854,0.007067
0.039999999999992,0.00568,0.004921,0.010218
0.0424999999999897,0.007206,0.005722,0.011937
0.0449999999999874,0.003252,0.000798,0.011126
0.0474999999999852,0.00624,0.00029,0.012336
0.0499999999999829,0.006006,-0.00056,0.011907
0.0524999999999806,0.009604,0.000818,0.009185
0.0549999999999784,0.007902,0.004955,0.010608
0.0574999999999761,0.00864,0.003456,0.008743
0.0600000000000022,0.005921,0.005371,0.010347
0.0625,0.007782,0.002687,0.009803
0.0649999999999977,0.006164,-0.000307,0.010877
0.0674999999999954,0.003701,0.001224,0.010452
0.0699999999999931,0.003047,0.0035,0.009104
0.0724999999999909,0.006255,0.003675,0.006693
0.0749999999999886,0.006806,0.001208,0.008617
0.0774999999999863,0.0076,0.000345,0.009491
0.079999999999984,0.005328,0.001469,0.009894
0.0824999999999818,0.008822,0.001616,0.009223
0.0849999999999795,0.007804,0.002047,0.010213
0.0874999999999772,0.007936,-0.000393,0.010618
0.0900000000000034,0.007591,0.005022,0.01019
0.0925000000000011,0.008865,0.004602,0.011577
0.0949999999999988,0.009472,0.001103,0.012695
0.0974999999999965,0.00625,-0.001226,0.010069
0.0999999999999943,0.007791,-0.000286,0.011959
0.102499999999992,0.012518,-0.001648,0.010597
0.1049999999999897,0.010542,0.000881,0.010491
0.1074999999999875,0.013087,0.001923,0.010327
0.1099999999999852,0.009542,0.001318,0.010651
0.1124999999999829,0.011449,0.007363,0.009345
0.1149999999999806,0.00835,0.00392,0.009125
0.1174999999999784,0.014643,0.001817,0.011902
0.1199999999999761,0.009186,0.003497,0.011779
0.1225000000000022,0.011358,2.3e-05,0.008843
0.125,0.011515,0.002884,0.013293
0.1274999999999977,0.013372,0.00345,0.013994
0.1299999999999954,0.017177,0.010861,0.014574
0.1324999999999931,0.013307,0.002591,0.014288
0.1349999999999909,0.013527,0.002208,0.016456
0.1374999999999886,0.01196,-0.001368,0.012898
0.1399999999999863,0.011554,0.003286,0.01516
0.142499999999984,0.012573,0.004519,0.016154
0.1449999999999818,0.009874,-0.000596,0.016289
0.1474999999999795,0.0115,0.000798,0.014812
0.1499999999999772,0.009788,0.002842,0.012367
0.1525000000000034,0.010532,0.001819,0.011621
0.1550000000000011,0.011604,0.001686,0.011969
0.1574999999999988,0.011254,-0.000221,0.013126
0.1599999999999966,0.009441,0.00126,0.009669
0.1624999999999943,0.01182,0.003432,0.007176
0.164999999999992,0.010504,-0.000405,0.008835
0.1674999999999897,0.010587,0.002193,0.011294
0.1699999999999875,0.005277,0.005334,0.011095
0.1724999999999852,0.009846,0.002637,0.011004
0.1749999999999829,0.005174,0.004735,0.012108
