time,Gyr_X,Gyr_Y,Gyr_Z
0.0,0.027727,-0.007618,0.01
0.0100000000000051,0.048095,0.006054,0.016848
0.019999999999996,0.033252,0.001502,-0.000739
0.0300000000000011,0.036278,0.015939,0.00862
0.0400000000000062,0.027919,0.01592,-0.008838
0.0499999999999971,0.029736,0.009598,0.002998
0.0600000000000022,0.033188,-0.000272,-0.002549
0.0699999999999931,0.029168,-0.012719,-0.013685
0.0799999999999983,-0.0146,-0.009513,-0.019707
0.0900000000000034,-0.011058,-0.016714,-0.016117
0.0999999999999943,-0.040407,-0.026855,-0.011169
0.1099999999999994,-0.049832,-0.034977,-0.027838
0.1200000000000045,-0.038787,-0.040361,-0.014981
0.1299999999999954,-0.048828,-0.026892,-0.038709
0.1400000000000005,-0.036737,-0.016891,-0.031099
0.1500000000000056,-0.013001,-0.023983,-0.017161
0.1599999999999966,-0.003543,-0.008612,-0.004966
0.1700000000000017,0.018216,-0.021894,-0.005731
0.1800000000000068,0.020027,-0.025532,0.000623
0.1899999999999977,0.029229,-0.021893,-0.001053
0.2000000000000028,0.032159,-0.008379,-0.005436
0.2099999999999937,0.018531,-0.003995,-0.002833
0.2199999999999988,0.027525,-0.011141,-0.006448
0.2300000000000039,0.018517,-0.002182,-0.00645
0.2399999999999948,0.007568,-0.002308,-0.004762
0.25,0.017424,-0.013019,-0.004765
0.2600000000000051,0.02004,-0.023806,-0.001215
0.269999999999996,0.003797,-0.02035,0.018703
0.2800000000000011,0.005285,-0.034706,0.001197
0.2900000000000062,0.005366,-0.032924,0.009436
0.2999999999999971,0.010928,-0.029294,0.013225
0.3100000000000023,0.009017,-0.029303,0.002241
0.3199999999999932,0.007181,-0.031127,0.004031
0.3299999999999983,-0.001951,-0.030303,0.003914
0.3400000000000034,0.005514,-0.027562,0.019578
0.3499999999999943,0.002097,-0.005911,0.006093
0.3599999999999994,0.002617,-0.031144,0.005792
0.3700000000000045,0.01015,-0.01849,0.008784
0.3799999999999954,-0.011653,-0.011434,0.014978
0.3900000000000005,-0.009085,-0.016799,0.002163
0.4000000000000057,-0.003586,-0.014958,0.001335
0.4099999999999966,-0.021978,-0.020477,-0.003542
0.4200000000000017,-0.018361,-0.029548,0.005531
0.4300000000000068,-0.009495,-0.032938,-0.018163
0.4399999999999977,-0.001913,-0.014941,-0.026962
0.4500000000000028,-0.008547,-0.025776,-0.027184
0.4599999999999937,0.02174,-0.026603,-0.013984
0.4699999999999988,0.026736,-0.047123,-0.030611
0.480000000000004,0.030924,-0.031077,-0.004785
0.4899999999999949,0.034437,-0.038163,-0.003032
0.5,0.037952,-0.038086,-0.028592
0.5100000000000051,0.039968,-0.029195,-0.02843
0.519999999999996,0.068857,-0.052414,-0.019193
0.5300000000000011,0.055974,-0.050644,-0.032109
0.5400000000000063,0.040519,-0.045274,-0.035873
0.5499999999999972,0.03516,-0.04537,-0.012172
0.5600000000000023,0.027526,-0.05607,-0.016096
0.5699999999999932,0.026728,-0.052465,-0.028816
0.5799999999999983,0.013845,-0.052545,-0.038115
0.5900000000000034,0.013851,-0.059787,-0.021804
0.5999999999999943,0.015375,-0.066075,-0.05109
0.6099999999999994,0.005417,-0.059893,-0.051157
0.6200000000000045,-0.00992,-0.052881,-0.042138
0.6299999999999955,-0.00436,-0.04743,-0.035612
0.6400000000000006,-0.01375,-0.063644,-0.035017
0.6500000000000057,-0.026792,-0.06894,-0.058994
0.6599999999999966,-0.010013,-0.055379,-0.047616
0.6700000000000017,0.000605,-0.065167,-0.067709
0.6800000000000068,0.006271,-0.067037,-0.042081
0.6899999999999977,0.006571,-0.050891,-0.038238
0.7000000000000028,0.001228,-0.045587,-0.032793
0.7099999999999937,0.010479,-0.036568,-0.038061
0.7199999999999989,0.014176,-0.034755,-0.032508
0.730000000000004,0.02133,-0.04915,-0.021596
0.7399999999999949,0.030649,-0.045501,-0.003145
0.75,0.052641,-0.045345,0.00263
0.7600000000000051,0.044337,-0.048081,-0.003921
0.769999999999996,0.050775,-0.057989,0.020696
0.7800000000000011,0.050788,-0.048975,0.002549
0.7900000000000063,0.045537,-0.038239,0.013566
0.7999999999999972,0.039792,-0.052628,0.009647
0.8100000000000023,0.009711,-0.041969,-0.003417
0.8199999999999932,0.00514,-0.038352,-0.01257
0.8299999999999983,0.006783,-0.045519,-0.022679
0.8400000000000034,-0.003237,-0.037423,-0.034583
0.8499999999999943,0.001593,-0.022071,-0.032512
0.8599999999999994,-0.003878,-0.020283,-0.034385
0.8700000000000045,0.010884,-0.007525,-0.043156
0.8799999999999955,0.02715,-0.016405,-0.048506
0.8900000000000006,0.058628,0.009021,-0.047771
0.9000000000000057,0.044079,0.008906,-0.035167
0.9099999999999966,0.034875,0.003443,-0.031696
0.9200000000000016,0.027745,0.013284,-0.027104
0.9300000000000068,0.000192,-0.000514,-0.013922
0.9399999999999976,-0.016214,-0.009738,0.015875
0.9500000000000028,-0.034333,-0.000923,0.022119
0.9599999999999936,-0.04915,-0.022694,0.043601
0.9699999999999988,-0.058562,-0.044393,0.052364
0.980000000000004,-0.06954,-0.052592,0.068573
0.9899999999999948,-0.058807,-0.069676,0.073992
1.0,-0.064339,-0.085998,0.102959
1.0100000000000051,-0.071699,-0.091468,0.109183
1.019999999999996,-0.085945,-0.12397,0.104026
1.0300000000000011,-0.088804,-0.135686,0.109297
1.0400000000000065,-0.085194,-0.144648,0.119275
1.0499999999999972,-0.057907,-0.141701,0.091344
1.0600000000000025,-0.0635,-0.141717,0.076642
1.0699999999999932,-0.047652,-0.17044,0.054571
1.0799999999999983,-0.047836,-0.171345,0.031695
1.0900000000000034,-0.044377,-0.181196,0.023406
1.0999999999999943,-0.055355,-0.171301,-0.000388
1.1099999999999994,-0.041011,-0.182855,-0.016784
1.1200000000000043,-0.039183,-0.181908,-0.019484
1.1299999999999957,-0.028338,-0.175463,-0.051232
1.1400000000000006,-0.00471,-0.178893,-0.065609
1.1500000000000057,0.028096,-0.165942,-0.110694
1.1599999999999966,0.046536,-0.151355,-0.123974
1.1700000000000017,0.075967,-0.129487,-0.147994
1.1800000000000068,0.118176,-0.107563,-0.172738
1.1899999999999975,0.125758,-0.078666,-0.196028
1.2000000000000028,0.14245,-0.062381,-0.197426
1.2099999999999935,0.120574,-0.051766,-0.20854
1.2199999999999989,0.113588,-0.03386,-0.199256
1.230000000000004,0.093686,-0.023208,-0.19114
1.2399999999999949,0.09368,-0.028557,-0.179291
1.25,0.112638,-0.003171,-0.13851
1.2600000000000051,0.101898,0.011235,-0.1348
1.269999999999996,0.094762,0.005696,-0.10025
1.2800000000000011,0.106236,0.028215,-0.081569
1.2900000000000065,0.08244,0.023512,-0.074642
1.2999999999999972,0.08917,0.040631,-0.063394
1.3100000000000025,0.070814,0.041377,-0.075513
1.3199999999999932,0.060131,0.052057,-0.059085
1.3299999999999983,0.055669,0.053746,-0.047254
1.3400000000000034,0.039,0.041921,-0.051268
1.3499999999999943,0.030075,0.048169,-0.033034
1.3599999999999994,0.035188,0.019374,-0.020514
1.3700000000000043,-0.00885,0.008317,-0.015731
1.3799999999999957,-0.027241,-0.013454,0.014837
1.3900000000000006,-0.029695,0.000983,0.023202
1.4000000000000057,-0.045336,-0.008127,0.027441
1.4099999999999966,-0.050989,-0.017184,0.02175
1.4200000000000017,-0.051884,-0.013566,0.016296
1.4300000000000068,-0.05101,-0.015364,0.01628
1.4399999999999975,-0.054437,-0.049637,-0.00246
1.4500000000000028,-0.053801,-0.069498,0.002785
1.4599999999999935,-0.072781,-0.109252,-0.008908
1.4699999999999989,-0.096425,-0.109414,0.005387
1.480000000000004,-0.117938,-0.082489,0.004499
1.4899999999999949,-0.120148,-0.098677,-0.013094
1.5,-0.10563,-0.103067,-0.020266
1.5100000000000051,-0.096438,-0.094899,-0.031018
1.519999999999996,-0.083741,-0.0966,-0.041824
1.5300000000000011,-0.071896,-0.092874,-0.055309
